id,make,model,year,colour,fuel,vin
1,GMC,Yukon XL 1500,2013,Aquamarine,diesel,WVWAW7AH8BV074613
2,Scion,tC,2013,Mauv,petrol,5J6TF1H50FL289173
3,Nissan,Titan,2007,Orange,diesel,SCBZU25E11C791296
4,Mazda,626,2000,Red,diesel,SALME1D46AA658772
5,Lincoln,Town Car,2007,Pink,diesel,4A31K5DF2CE923773
6,Lexus,LX,2004,Fuscia,diesel,1G6AC1R3XF0642283
7,Chevrolet,Astro,2005,Orange,diesel,WAUSFAFL0AA394526
8,Lincoln,Town Car,2000,Crimson,diesel,SAJWJ0FF7F8588588
9,Dodge,Ram 3500,2002,Crimson,petrol,WAUPFBFM1BA609790
10,GMC,Acadia,2012,Turquoise,petrol,5N1AL0MMXEC230901
11,Honda,Insight,2004,Indigo,diesel,YV1902AH5C1084249
12,Lincoln,Town Car,1984,Indigo,diesel,3VW1K7AJ6BM362717
13,BMW,Z4,2011,Mauv,petrol,WA1WMAFE5DD142523
14,Oldsmobile,Bravada,1993,Indigo,diesel,5N1AA0ND3FN117298
15,Cadillac,Brougham,1992,Puce,diesel,JN1AZ4EH9EM732792
16,Audi,A4,2004,Turquoise,diesel,4T1BD1EB4DU271523
17,Dodge,Dakota Club,1993,Orange,diesel,JN1CV6APXAM701560
18,Chevrolet,Corvette,1963,Red,petrol,1D7RE2BK9BS840407
19,Mitsubishi,GTO,1998,Goldenrod,diesel,5YMGZ0C58DL691494
20,Ford,Fairlane,1967,Green,diesel,KMHHT6KD6BU198457
21,Audi,A4,2006,Fuscia,petrol,WVWED7AJ8CW782317
22,Nissan,370Z,2011,Purple,petrol,WBAPH7G57AN541629
23,Acura,RL,2005,Turquoise,diesel,WAUEH78E96A291461
24,Smart,Fortwo,2011,Orange,diesel,5N1AA0NC9BN803881
25,BMW,7 Series,2006,Orange,diesel,SAJWA6BC9F8625459
26,Nissan,NX,1992,Maroon,diesel,1GYS3AKJ2FR373938
27,Volkswagen,Golf,1988,Khaki,petrol,1G6KF57915U839666
28,Mercedes-Benz,300D,1992,Red,diesel,1GKKRNED5BJ865619
29,Mitsubishi,Montero,1994,Khaki,petrol,1D7CW3BK7AS822091
30,Toyota,4Runner,2012,Indigo,diesel,4T1BD1FK3DU764544
31,Chevrolet,Lumina,1992,Aquamarine,petrol,1G6KF549X2U974063
32,Porsche,Cayenne,2010,Khaki,diesel,3VWF17AT0FM053471
33,Honda,Element,2010,Pink,diesel,WAUUL98E56A862918
34,BMW,7 Series,1996,Fuscia,petrol,JA32U2FU3DU129186
35,Acura,CL,2002,Teal,diesel,WBA1F5C59EV984392
36,Cadillac,Eldorado,1995,Orange,diesel,TRUDD38J381062802
37,Pontiac,Firebird,1969,Blue,petrol,1G6KS54YX2U614858
38,Oldsmobile,Custom Cruiser,1992,Purple,petrol,WDDNG9FB1DA393446
39,Buick,Electra,1985,Indigo,diesel,19UUA9F29EA860249
40,Hillman,Minx Magnificent,1950,Purple,diesel,WDDHF7GB9EB395802
41,Mazda,B-Series Plus,1999,Teal,diesel,SCFFDCBD5CG535161
42,Volkswagen,Corrado,1993,Puce,petrol,WAUGGAFR2DA735842
43,Dodge,Ram 2500 Club,1998,Red,petrol,3D7TT2CT0BG653969
44,Saturn,VUE,2007,Aquamarine,petrol,JH4DC530X6S485115
45,Suzuki,SJ 410,1986,Violet,petrol,KNAFK4A60E5390863
46,Ford,Club Wagon,1998,Fuscia,petrol,WA1EV74L58D419951
47,Dodge,Ram 3500,2004,Blue,petrol,2C3CDXHG1FH402713
48,Lexus,ES,2005,Maroon,petrol,WBADS43473G720938
49,Honda,Prelude,1984,Purple,petrol,1G6DL5EV2A0931520
50,Kia,Sorento,2003,Pink,diesel,KMHD35LH7FU199035
51,Mazda,CX-9,2010,Green,diesel,3TMJU4GN1DM994727
52,Austin,Mini Cooper,1964,Green,petrol,5NPEB4AC3BH604681
53,Audi,5000S,1984,Fuscia,petrol,SCFEBBAK4EG192955
54,Maserati,Spyder,2003,Pink,petrol,JN8AZ2KR7BT923325
55,Porsche,914,1970,Teal,petrol,JN1CV6AP7BM133799
56,Acura,NSX,1999,Teal,petrol,1G6AB5SX8D0725568
57,Mercury,Grand Marquis,1989,Teal,petrol,WBAPK5C53BF046514
58,Pontiac,Bonneville,1998,Blue,diesel,WAUHFAFL5CA384023
59,Dodge,Ram 1500,1998,Pink,petrol,4USBU335X8L007161
60,Volkswagen,Eos,2012,Purple,petrol,19UYA42673A670654
61,Ford,F-Series,2007,Goldenrod,diesel,WBANV93568C367639
62,BMW,525,2005,Maroon,petrol,KNAFU6A27A5880861
63,Mercedes-Benz,S-Class,2000,Fuscia,petrol,1G6DT57VX90265063
64,Bentley,Azure,2009,Mauv,diesel,WAUUL98E28A248959
65,Cadillac,Escalade ESV,2007,Goldenrod,petrol,WBAWV135X8P199664
66,Volkswagen,Jetta,2006,Orange,diesel,WAUVC58E85A319722
67,GMC,Yukon,1993,Maroon,diesel,WBSKG9C54BE113738
68,Chevrolet,Camaro,1994,Blue,petrol,3VWKZ7AJ3BM886259
69,Saab,9000,1994,Red,diesel,2G61M5S33F9026588
70,Geo,Prizm,1997,Violet,petrol,1GYUCHEF9AR425454
71,Isuzu,i-370,2007,Green,petrol,WA1VFAFL7EA190435
72,Chevrolet,Suburban 2500,2000,Maroon,petrol,5N1AR2MM5FC379907
73,Jaguar,XJ Series,2005,Yellow,petrol,WAUSF98E08A989061
